Origin Time,Latitude,Longitude,Magnitude,Depth
2011-04-21T19:54:10.890000Z,29.6858,80.8277,3.6,17.0
2011-04-20T15:33:21.700000Z,30.831,77.671,2.7,10.0
2011-04-08T21:18:20.180000Z,31.0041,78.1838,3.6,5.7
2011-04-06T03:51:26.300000Z,30.271,79.14,2.8,10.0
2011-04-05T01:00:45.950000Z,29.9588,80.4896,3.6,23.0
2011-04-04T16:33:33.730000Z,29.5879,80.8728,3.4,17.0
2011-04-04T13:42:41.090000Z,29.5479,80.9284,3.6,17.0
2011-04-04T11:31:41.120000Z,29.6265,80.7289,5.4,17.4
2011-03-16T02:16:55.600000Z,29.743,80.02,2.9,10.0
2011-03-14T09:01:30.670000Z,30.5428,79.1766,3.9,24.0
2011-02-18T13:27:00.700000Z,29.038,77.277,2.0,5.0
2011-02-09T04:07:52.770000Z,31.7552,78.0931,3.3,17.0
2011-01-26T20:47:05.770000Z,30.9727,78.3915,3.5,10.0
2011-01-26T03:06:45.000000Z,29.061,77.214,3.2,10.0
2011-01-17T07:21:37.400000Z,30.966,78.349,2.7,10.0
2011-01-06T20:26:09.300000Z,29.65,77.546,2.3,8.7
2010-12-24T15:36:30.010000Z,29.7099,80.5584,3.5,10.0
2010-12-18T05:57:57.100000Z,31.462,77.153,2.6,10.0
2010-12-17T12:14:50.700000Z,30.167,80.862,2.8,10.0
2010-11-25T17:14:11.300000Z,31.997,78.104,2.9,10.0
2010-11-22T10:00:33.900000Z,30.833,78.148,2.6,10.0
2010-11-04T20:23:33.700000Z,31.351,77.212,2.7,28.6
2010-11-03T22:38:17.200000Z,29.728,80.56,2.9,10.0
2010-10-31T14:39:21.600000Z,30.876,78.051,2.4,10.0
2010-09-30T05:48:45.600000Z,29.007,77.315,2.3,10.0
2010-09-28T18:15:53.700000Z,29.831,80.051,3.2,19.8
2010-08-30T15:47:24.000000Z,29.036,77.292,2.9,10.0
2010-08-30T15:45:12.500000Z,29.024,77.22,2.9,10.0
2010-08-19T10:38:12.800000Z,31.377,78.608,3.1,10.0
2010-08-13T17:11:08.860000Z,31.3464,77.7027,3.8,10.0
2010-08-06T12:00:43.400000Z,31.324,80.707,3.5,10.0
2010-07-21T22:19:42.400000Z,31.495,77.502,2.7,10.0
2010-07-18T11:49:16.500000Z,30.071,79.785,2.9,10.0
2010-07-11T01:26:35.760000Z,30.1671,79.7079,3.3,10.0
2010-07-10T16:49:19.070000Z,31.7509,77.554,3.3,6.2
2010-07-10T03:16:17.800000Z,30.0088,79.6138,4.6,6.6
2010-07-07T23:44:11.200000Z,31.1633,80.6696,3.7,10.0
2010-07-06T19:08:23.000000Z,29.8047,80.4105,5.0,14.2
2010-07-05T21:23:31.730000Z,30.934,80.106,3.2,35.0
2010-07-05T02:04:08.030000Z,31.0631,80.4953,4.8,14.2
2010-07-04T02:35:59.460000Z,29.8226,80.3731,4.7,13.5
2010-06-22T23:14:11.570000Z,29.9097,80.4601,5.2,20.4
2010-06-22T15:42:20.200000Z,30.046,79.65,2.8,33.0
2010-06-17T16:27:35.400000Z,29.906,80.759,2.9,10.0
2010-06-17T12:48:55.100000Z,29.884,80.715,3.2,10.0
2010-06-14T16:55:44.700000Z,29.284,80.278,2.9,10.0
2010-06-12T09:42:44.700000Z,30.97,78.058,2.9,10.0
2010-06-02T08:05:18.060000Z,31.3882,80.2499,4.0,1.9
2010-05-31T11:37:02.000000Z,29.955,79.976,3.6,10.0
2010-05-28T07:25:05.730000Z,31.1968,77.8582,5.0,40.8
2010-05-13T08:47:04.600000Z,29.091,77.608,3.0,10.0
2010-05-03T17:15:09.690000Z,30.3195,78.2239,4.0,24.8
2010-05-01T22:36:30.780000Z,30.0775,80.0203,4.5,49.6
2010-04-14T05:40:03.030000Z,30.0043,80.7052,3.3,10.0
2010-04-04T18:18:24.800000Z,31.444,77.138,2.7,10.0
2010-03-23T06:25:33.100000Z,30.742,80.012,3.2,10.0
2010-03-20T23:26:43.300000Z,30.347,80.296,3.2,10.0
2010-03-16T22:44:54.460000Z,31.4118,78.1447,3.1,8.0
2010-03-16T05:23:02.000000Z,29.209,77.223,2.8,10.0
2010-03-08T14:27:17.500000Z,29.686,80.161,3.1,10.0
2010-03-02T01:26:56.200000Z,30.585,79.411,2.7,10.0
2010-02-24T15:18:43.300000Z,29.065,80.523,3.1,10.0
2010-02-22T17:23:46.270000Z,29.9868,80.0687,4.6,20.5
2010-01-29T09:41:02.400000Z,29.171,77.011,3.3,10.0
2010-01-27T12:10:14.400000Z,30.44,78.431,3.2,10.0
2010-01-26T06:51:16.470000Z,29.9884,80.3534,3.9,12.1
2010-01-11T19:42:44.600000Z,30.886,77.879,2.8,10.0
2010-01-11T05:15:13.490000Z,29.7659,80.4999,4.7,13.7
2010-01-05T15:04:25.750000Z,30.0907,80.1698,3.6,4.5
2010-01-01T02:42:50.200000Z,29.153,80.607,2.5,10.0
